SEQN,RIDSTATR,RIAGENDR,RIDAGEYR,RIDRETH3,DMDEDUC2,DMDMARTL,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA
89442,2,1,51,6,2,6,18432.03509,18419.057886,1,129
89443,2,1,80,3,3,1,51673.778771,55220.742077,1,126
89444,2,2,48,1,1,5,22212.639678,28386.197065,1,128
89445,2,1,32,3,4,1,50129.156096,51680.136746,2,123
89446,2,2,61,7,2,1,21456.406448,20891.978932,1,122
89447,2,1,0,3,,,18427.249053,19966.060005,2,121
89448,2,2,17,7,,,11578.242753,11234.760774,2,128
89449,2,2,1,6,,,12127.978663,12037.309306,2,122
89450,2,2,1,3,,,25012.720018,27963.534402,2,132
89451,2,2,3,1,,,11659.173426,12215.037196,1,120
89452,2,1,0,3,,,9046.109107,10375.480447,2,132
89453,2,2,25,3,3,5,77942.961749,82324.104057,2,121
89454,2,2,4,4,,,8354.123573,8683.759666,2,131
89455,2,1,65,1,1,1,7920.854536,7778.892166,1,125
89456,2,2,16,7,,,12694.780271,12550.531753,2,124
89457,2,2,48,3,5,1,146770.76621,169956.068501,2,122
89458,2,2,70,7,4,6,78301.025945,81740.494014,2,125
89459,2,1,54,3,3,3,26580.224663,27258.838143,1,131
89460,2,1,11,3,,,22639.879224,22767.88609,1,131
89461,2,1,4,2,,,14563.897898,15080.57504,1,124
89462,2,1,29,6,5,5,24604.547573,26869.925269,2,122
89463,2,1,14,1,,,20753.06466,20082.704581,2,130
89464,2,2,5,3,,,32232.37358,36034.908911,1,130
89465,1,2,55,1,2,3,17351.968116,0,1,127
89466,2,1,4,3,,,35843.779207,36134.666341,2,131
89467,2,2,16,1,,,15547.607223,15555.652818,1,120
89468,2,2,12,3,,,55057.808676,57122.052232,1,131
89469,1,1,77,6,5,1,16496.474433,0,2,133
89470,2,2,46,4,4,1,23453.41052,23503.766265,1,129
89471,2,2,75,4,2,2,19171.003221,19033.988827,1,125
89472,2,1,75,3,4,6,11923.085117,12092.152709,1,131
89473,2,2,68,4,4,1,21252.359547,21169.30518,2,125
89474,2,2,29,3,5,3,86334.346734,87369.050543,1,130
89475,2,2,46,4,5,3,22450.161976,22498.363692,1,129
89476,2,2,44,4,4,5,15210.982313,15734.817574,1,119
89477,2,1,31,3,5,5,144868.155442,147880.69347,1,122
89478,2,2,4,4,,,11377.485453,11450.657552,2,124
89479,2,1,11,6,,,12763.432688,12631.077057,2,128
89480,2,2,9,4,,,10102.52761,10082.680453,2,126
89481,2,2,0,7,,,15280.132678,16678.083074,2,119
89482,2,2,70,3,4,2,80797.36173,83647.034635,2,125
89483,2,2,56,1,2,1,11709.112101,11742.14525,1,121
89484,2,1,4,2,,,12977.535438,13384.933463,1,120
89485,2,1,35,4,2,5,28683.934318,30354.128303,1,132
89486,2,2,12,6,,,7373.040449,7138.579063,2,132
89487,2,1,8,3,,,24978.996547,24982.559354,2,131
89488,2,1,75,6,5,1,13405.397716,14665.124966,1,123
89489,2,1,12,3,,,69918.572667,71506.653256,2,125
89490,2,1,74,3,5,6,88711.23904,89223.831036,1,126
89491,2,1,49,4,4,1,28787.437197,29555.904849,1,129
89492,2,2,0,3,,,13647.840169,13881.276251,2,123
89493,2,2,26,6,5,5,24285.152361,26494.854271,2,128
89494,2,2,42,6,5,1,22534.264332,22772.072317,2,129
89495,2,2,49,4,2,4,16954.292148,16990.693933,2,129
89496,2,2,48,6,5,1,31061.872345,31550.166385,2,122
89497,2,1,20,3,4,5,132059.68758,148172.898325,2,128
89498,2,2,4,4,,,10170.621305,10571.932566,1,132
89499,2,2,57,7,4,4,55467.866762,58271.405733,2,130
89500,2,2,63,2,5,1,8044.382179,8254.256938,1,122
89501,2,1,80,3,5,2,30161.836655,32232.188977,2,126
89502,2,2,4,2,,,21146.483757,22358.679097,2,125
89503,2,1,8,4,,,12791.204796,13291.737749,1,126
89504,2,1,80,3,4,1,18334.422267,19921.793769,1,130
89505,1,2,26,3,3,1,72675.804763,0,2,121
89506,1,2,23,2,3,6,22820.835676,0,1,121
89507,2,2,2,6,,,12881.166163,12972.978167,1,122
89508,2,2,20,2,4,5,28590.617173,29030.499512,2,125
89509,2,2,10,3,,,27177.510505,26743.524065,2,121
89510,2,2,8,3,,,27429.848031,27051.315215,2,123
89511,2,2,45,3,4,6,103666.505971,108408.673531,2,132
89512,2,1,0,3,,,20349.151678,20262.136086,1,122
89513,2,1,49,6,5,1,22542.205636,22641.509873,1,122
89514,2,2,67,2,4,2,7791.994132,7995.284187,1,124
89515,1,2,80,2,1,2,9083.63783,0,2,119
89516,1,2,35,1,5,1,44050.404373,0,2,127
89517,2,1,27,2,4,1,37802.20374,40344.611414,2,120
89518,2,2,57,4,2,3,16779.365328,16815.391535,2,133
89519,2,1,65,1,3,4,8285.136276,8002.324829,1,121
89520,2,1,45,3,3,1,90373.680624,89932.524934,2,128
89521,2,2,4,1,,,11659.173426,12215.037196,1,120
89522,2,1,45,2,5,3,44108.172605,43714.53547,2,128
89523,2,2,26,6,3,1,13682.884001,13833.113104,1,133
89524,2,1,54,1,2,1,26948.949433,27372.694269,2,131
89525,2,2,41,6,5,1,17710.458274,18674.410271,2,133
89526,2,1,1,4,,,9083.492828,9462.787062,2,132
89527,2,2,11,3,,,15540.708615,15326.246319,1,123
89528,1,1,5,4,,,20757.72977,0,1,132
89529,2,2,20,2,4,5,29733.416967,30190.881908,2,125
89530,2,1,4,3,,,36672.665174,42188.835724,2,125
89531,1,2,60,2,1,3,6338.18803,0,1,133
89532,2,2,0,4,,,4557.608121,5089.106284,1,123
89533,2,1,38,3,4,1,153468.986117,158217.269281,1,126
89534,2,1,20,7,2,5,50452.425035,53704.38458,2,125
89535,2,1,10,2,,,13075.109079,13467.411176,2,123
89536,2,2,47,3,3,1,104922.046554,103792.651511,2,120
89537,2,1,50,2,4,1,19814.909561,19899.975358,2,125
89538,2,2,58,1,2,4,28501.586688,29822.939619,2,127
89539,2,1,17,7,,,13815.962984,13839.014881,2,125
89540,2,1,48,3,2,3,33982.704805,33816.819521,2,125
89541,2,1,44,4,1,6,26740.394261,26311.834911,1,126
89542,2,1,62,4,4,3,13776.283972,13689.736224,2,130
89543,2,1,64,1,4,3,8265.239516,8117.104869,2,126
89544,2,2,25,4,3,5,29451.542985,29523.871599,1,132
89545,2,2,41,2,3,5,19233.915207,19971.19927,1,127
89546,2,1,74,3,5,1,90450.6751,90218.914631,1,126
89547,2,1,2,4,,,10893.44535,11451.581065,1,132
89548,1,1,6,4,,,10829.274841,0,2,131
89549,2,1,49,1,1,1,24831.294224,25221.741084,1,120
89550,2,1,55,6,5,1,16707.332452,16780.932565,2,122
89551,2,1,78,4,3,2,10552.897121,11049.326403,2,126
89552,2,2,19,4,,,12993.648913,12755.492757,1,123
89553,2,1,55,3,3,1,116093.057442,120644.793468,1,125
89554,2,2,7,7,,,8307.515237,8329.648995,1,123
89555,1,2,31,3,5,1,74432.2305,0,2,132
89556,2,1,3,3,,,22890.023307,25252.946478,1,125
89557,2,1,51,1,1,5,16753.798695,17017.235149,1,128
89558,2,1,7,4,,,11671.091047,12088.459694,1,125
89559,2,1,6,1,,,13195.838973,13555.028429,1,120
89560,2,2,80,2,1,1,13158.071553,12754.627595,1,127
89561,2,1,2,3,,,12053.171289,13297.412824,1,131
89562,2,2,34,4,2,6,27566.170398,27557.775895,1,123
89563,2,2,68,3,3,2,38344.216256,37671.236728,2,131
89564,2,2,9,4,,,10395.301979,11976.099538,2,131
89565,2,2,55,3,4,1,116807.929435,122713.44145,1,122
89566,2,1,78,4,5,1,14642.395891,15331.203334,1,129
89567,2,2,15,2,,,20279.957903,23683.147903,1,122
89568,2,1,51,1,5,1,44409.059408,49687.157222,2,127
89569,2,2,5,4,,,11350.137541,11797.990025,1,129
89570,2,1,56,7,4,3,147497.428691,177064.054262,1,121
89571,2,2,5,3,,,31178.073501,30544.681819,1,121
89572,2,2,61,4,3,1,25919.925725,25818.630477,2,130
89573,2,1,20,2,3,5,30540.904947,34019.381942,1,119
89574,2,1,63,2,4,1,9437.131714,9243.677587,1,127
89575,2,2,25,2,4,6,31688.198508,31859.122926,2,121
89576,2,2,70,2,5,1,9216.11155,12177.520925,2,133
89577,2,1,38,6,5,1,20734.412242,21556.65055,2,133
89578,2,1,34,3,4,1,36863.029403,38003.560179,2,121
89579,2,1,39,6,5,1,24248.546258,24962.067144,2,124
89580,2,1,2,4,,,9288.198406,10799.915043,1,122
89581,2,2,67,3,5,3,115980.666647,113945.089397,1,123
89582,2,1,53,3,5,5,109135.67944,116254.109794,2,121
89583,2,1,38,3,3,5,43139.679898,46417.98441,1,130
89584,2,2,23,1,4,5,26280.708979,26685.052113,1,128
89585,2,2,74,3,3,5,48606.229315,50320.540919,1,125
89586,2,1,22,7,3,6,39119.535218,39031.165047,1,126
89587,2,2,76,4,3,4,14284.622157,13948.404515,2,126
89588,2,2,62,3,4,1,93736.93313,93637.5294,1,131
89589,2,2,30,7,5,5,94261.957853,95911.24699,2,121
89590,1,2,35,1,2,3,27905.583952,0,1,133
89591,2,1,39,4,3,1,23895.488889,25231.17362,2,132
89592,2,2,14,4,,,19348.808334,19124.115155,1,126
89593,2,1,7,4,,,8425.393654,8960.215377,2,131
89594,2,1,21,3,3,5,64544.757024,68705.051371,2,121
89595,2,2,51,1,3,1,15094.491631,15137.075441,1,131
89596,2,2,80,3,4,4,27134.216252,28836.232514,1,131
89597,2,2,65,4,2,5,18777.590395,18704.207443,2,129
89598,2,1,38,3,4,1,108246.511804,111595.62554,2,132
89599,2,1,62,1,1,3,9100.882815,11142.645637,1,128
89600,2,1,22,2,1,6,29078.254493,32352.859058,1,129
89601,2,2,30,3,4,1,46011.109022,47177.289007,2,126
89602,2,1,47,4,2,5,14764.965645,14528.332482,2,126
89603,2,2,5,1,,,8621.304134,9115.50945,2,133
89604,2,1,20,1,4,5,28365.884658,31233.050112,1,133
89605,2,2,4,4,,,9608.547047,11047.227145,2,126
89606,2,2,52,2,5,1,24439.639588,25572.67789,2,128
89607,2,2,17,2,,,18542.558479,18857.77833,1,124
89608,2,1,66,4,4,5,15613.121835,15515.034387,2,130
89609,2,2,74,2,1,3,9083.63783,10977.272181,2,119
89610,2,2,0,4,,,4934.422258,5010.289727,2,130
89611,2,2,61,1,2,2,7727.28617,7399.054621,1,121
89612,2,1,32,3,4,1,93353.522372,96241.851602,1,133
89613,2,2,18,3,,,67175.702777,70454.156857,2,131
89614,2,1,25,1,3,5,26299.575774,29261.26355,2,122
89615,2,1,11,3,,,31887.927699,31843.883342,1,122
89616,2,2,56,1,4,5,18497.758679,19355.327344,1,128
89617,2,2,10,6,,,11444.755074,12854.684424,1,132
89618,2,1,28,3,3,6,78310.57859,84186.575473,1,131
89619,2,1,31,3,5,1,99120.063238,102186.807466,2,129
89620,2,2,27,7,3,6,96694.468342,97853.336609,1,130
89621,2,2,3,2,,,14107.248418,14838.350612,2,120
89622,2,2,46,3,5,1,106318.274716,106576.49068,1,123
89623,2,2,68,2,1,6,10273.80486,10002.527251,1,127
89624,2,1,7,1,,,13195.838973,13555.028429,1,120
89625,2,2,0,4,,,8068.021884,9358.473649,2,124
89626,2,1,4,2,,,13107.548494,14456.368829,1,131
89627,2,1,17,6,,,12525.586046,12054.081522,2,122
89628,2,2,61,4,5,3,20783.223548,20702.002568,1,124
89629,2,1,54,2,1,1,18535.92801,18827.386636,1,119
89630,2,1,3,4,,,11562.803755,12942.512606,2,120
89631,2,1,13,7,,,15827.907884,15763.087822,2,132
89632,2,1,67,3,4,1,143841.97666,142473.913556,2,124
89633,2,1,73,4,4,1,13102.915241,13719.30245,2,123
89634,2,1,10,4,,,9961.020214,10350.805143,1,121
89635,2,2,65,4,3,3,24278.341434,25975.987055,1,132
89636,2,2,66,3,5,1,125849.717475,123640.928466,1,128
89637,2,2,40,1,1,5,18082.809824,18584.817647,1,121
89638,2,2,1,3,,,28874.985096,30957.342042,1,120
89639,2,2,29,3,5,1,51642.142037,52145.969028,1,131
89640,2,2,48,6,3,3,17164.949295,17777.496412,1,132
89641,2,1,62,3,5,5,129250.439391,130170.008458,1,130
89642,2,2,37,3,4,1,102335.349349,105160.700556,1,127
89643,2,1,29,2,4,1,29153.259152,34764.872593,2,120
89644,2,1,39,4,3,6,23741.142021,28070.046135,1,124
89645,2,2,54,4,5,4,32203.257005,33312.271608,1,132
89646,2,2,71,4,1,4,16035.444165,16018.196896,1,124
89647,2,2,47,3,4,2,22686.006881,23310.456462,1,133
89648,2,1,55,6,5,3,17404.957244,18147.842933,2,128
89649,2,1,60,3,4,1,126173.047977,127070.722542,1,130
89650,2,1,62,4,3,1,16272.675434,16170.444425,2,127
89651,2,2,26,2,4,1,24259.115981,24632.355796,1,128
89652,2,2,50,4,5,5,24427.396588,24479.843533,2,131
89653,2,2,0,1,,,4454.602264,4581.90265,1,120
89654,2,2,18,4,,,20160.255599,19861.514409,2,129
89655,2,1,72,1,1,1,8369.454865,11531.442993,1,133
89656,2,1,39,6,3,6,23073.994707,23201.177189,2,122
89657,2,1,59,3,5,1,141227.626755,169537.437967,2,121
89658,2,2,0,1,,,5590.092992,6148.507547,1,121
89659,2,2,43,3,4,1,139212.919138,145583.075077,1,122
89660,2,1,7,3,,,29026.010803,32512.388563,2,132
89661,1,1,31,1,4,5,28146.971766,0,1,122
89662,2,1,59,3,5,6,30627.549994,32625.247563,1,125
89663,2,1,7,1,,,10767.174539,11060.255985,1,120
89664,2,2,12,3,,,93659.342806,96199.702337,1,129
89665,2,2,5,3,,,50862.571212,50562.454552,2,129
89666,2,2,80,2,1,4,9524.460056,11509.991081,1,124
89667,1,1,3,2,,,12178.194991,0,1,119
89668,2,2,9,1,,,12002.693775,11960.435167,1,120
89669,2,1,52,2,2,1,19910.104829,19995.579301,1,124
89670,2,1,38,2,5,6,19243.706484,20004.910976,1,124
89671,2,1,77,3,3,1,71626.050067,72039.920287,1,128
89672,2,1,20,4,4,5,28183.870854,28120.204108,2,132
89673,2,1,39,7,4,3,16974.52388,18747.905128,2,126
89674,2,1,31,4,4,1,26441.179696,27980.783671,2,131
89675,2,1,14,4,,,15614.04267,15512.420433,2,130
89676,2,2,60,4,4,1,16846.801559,16780.964142,1,119
89677,2,1,60,1,1,1,8083.00136,8295.484674,1,120
89678,2,1,8,3,,,60138.195899,59728.714254,2,124
89679,2,1,78,3,5,1,16254.881149,16485.372971,1,130
89680,2,1,21,4,3,5,28889.506178,28887.866027,2,129
89681,2,2,16,3,,,52384.930246,53675.41563,2,123
89682,2,1,13,4,,,13912.889251,15588.713904,2,132
89683,2,2,11,1,,,10810.764172,10850.292982,1,128
89684,2,2,42,2,4,1,19745.991609,22456.699685,1,124
89685,2,2,41,1,2,1,25503.158114,25575.106323,1,122
89686,2,2,52,4,4,3,28136.90786,29105.885678,1,129
89687,2,2,5,1,,,21803.700689,22649.516601,1,121
89688,2,1,11,2,,,11085.703463,11387.455235,1,121
89689,2,2,10,1,,,11582.961612,13313.058814,1,128
89690,2,1,80,3,1,1,12199.401669,13255.61071,1,131
89691,2,2,2,6,,,12127.978663,12037.309306,2,122
89692,2,2,64,4,4,3,16969.9618,16903.643073,2,119
89693,2,1,2,3,,,23893.91903,26597.088555,2,121
89694,2,2,77,3,3,3,63587.888564,66935.570198,1,131
89695,2,2,8,2,,,8132.451875,9347.161264,1,124
89696,2,2,7,7,,,33516.643697,32901.515977,2,126
89697,1,2,5,2,,,13679.756041,0,2,120
89698,2,2,80,3,2,2,33699.303248,44647.921078,2,132
89699,1,1,80,1,1,2,9527.364182,0,1,128
89700,2,1,25,3,3,1,97998.961711,105352.267023,1,122
89701,2,2,53,2,3,1,18789.031225,24011.065355,1,122
89702,2,2,18,4,,,12206.681621,12208.983027,1,124
89703,2,2,67,2,3,4,9440.214707,9166.833894,1,129
89704,2,2,71,1,1,1,15195.840219,14486.753284,1,128
89705,2,2,34,4,4,1,27754.839884,27807.629501,2,124
89706,2,1,35,2,3,1,20583.566632,21187.212184,2,120
89707,2,1,5,7,,,12245.34864,13706.500819,2,123
89708,2,2,15,3,,,21018.021317,24859.54662,1,123
89709,2,1,26,3,5,1,117964.336013,122650.922231,2,125
89710,2,2,79,1,1,2,11252.311968,10727.242785,1,128
89711,2,2,36,3,5,1,115406.092915,118592.31103,1,121
89712,2,2,48,4,4,5,28632.426766,30332.997454,1,132
89713,2,2,75,3,3,1,72173.102095,74718.602705,2,126
89714,2,1,6,3,,,24242.267182,24135.682274,1,120
89715,2,2,8,3,,,28581.168628,28056.621205,1,131
89716,2,2,4,4,,,10708.221603,11030.374239,2,124
89717,2,2,1,4,,,8258.638216,8507.096099,2,122
89718,2,1,12,3,,,39189.55126,39982.561389,2,123
89719,2,1,34,1,1,1,25339.105746,26341.41999,1,120
89720,2,1,31,1,3,1,25064.107699,26055.544114,1,120
89721,2,1,80,4,1,5,12441.842857,13530.833396,2,131
89722,2,2,48,4,4,5,26297.826145,26354.289004,2,130
89723,2,2,40,4,4,1,23179.8468,23978.113528,2,129
89724,2,1,7,3,,,43081.630841,42892.215733,2,124
89725,2,2,19,4,,,17163.220932,17166.456827,1,123
89726,2,2,57,4,4,3,21598.346266,22584.468824,1,129
89727,2,1,18,2,,,23212.280754,22992.337861,2,129
89728,2,1,43,6,3,1,17596.331156,18021.260136,1,129
89729,2,1,50,2,5,6,25632.670723,25742.712283,2,124
89730,2,2,32,4,4,3,23933.853669,23926.565286,1,132
89731,2,1,34,7,5,1,36520.761315,38647.274199,2,127
89732,2,1,0,3,,,12108.204304,12271.507383,2,129
89733,2,1,24,6,5,6,18315.288169,20001.604294,2,122
89734,2,2,72,1,1,1,9825.809385,12983.132718,2,133
89735,2,1,41,3,4,6,123721.018375,124759.017131,2,125
89736,2,1,10,3,,,25287.803635,25115.618698,1,126
89737,2,2,46,1,1,1,15893.280165,15938.117476,1,120
89738,2,1,9,2,,,12033.87999,12220.767719,1,119
89739,2,1,8,2,,,14378.296616,14601.593442,1,128
89740,2,2,0,7,,,9717.819417,11272.150503,1,126
89741,2,1,61,2,4,1,8083.00136,8295.484674,1,120
89742,2,1,45,4,2,4,21771.874507,21422.94396,1,126
89743,2,2,41,3,5,1,146360.492953,149912.097475,1,127
89744,1,2,1,3,,,29063.710065,0,2,128
89745,1,2,78,4,2,6,16549.771552,0,2,133
89746,2,1,5,4,,,8286.574253,8711.144524,2,133
89747,2,1,11,4,,,13486.719141,13951.958708,2,131
89748,2,1,15,2,,,21557.418867,21101.208704,2,133
89749,2,2,20,2,1,6,28429.224924,28866.624154,2,132
89750,2,2,33,1,3,1,24386.552292,25509.061817,1,128
89751,2,1,54,3,4,1,45507.720766,48322.204793,1,126
89752,2,2,27,1,4,1,35197.718369,35739.254587,1,130
89753,2,1,9,3,,,24065.096645,24201.161752,1,130
89754,2,2,13,2,,,15804.288735,16255.450705,1,124
89755,2,2,60,4,3,5,20012.982285,19934.771413,2,124
89756,2,1,62,3,3,1,42215.514729,42515.862501,1,125
89757,2,1,8,3,,,45430.165085,45120.830586,1,122
89758,2,2,12,1,,,14415.451675,14487.531006,1,132
89759,2,2,12,6,,,11943.109255,11563.320487,2,124
89760,2,2,6,2,,,12709.219718,14607.541252,1,124
89761,2,2,79,4,5,2,15072.113377,20398.336182,2,133
89762,2,2,35,1,2,1,29007.798687,30343.023526,2,129
89763,2,2,8,4,,,17451.862175,19643.392091,2,130
89764,2,2,62,1,1,1,9632.695762,9223.528226,1,120
89765,2,1,16,6,,,7003.753675,6740.109201,1,119
89766,2,2,13,6,,,7855.328403,7587.102082,1,119
89767,2,1,6,1,,,13195.838973,13400.772077,1,120
89768,2,1,36,4,2,5,15557.366305,20285.091208,2,126
89769,2,2,1,4,,,7746.498153,7911.030669,2,131
89770,2,2,67,3,2,1,35300.224412,38108.155765,2,126
89771,2,1,70,2,4,1,8507.235469,8576.268612,1,124
89772,2,2,16,2,,,18273.825747,18584.477195,1,124
89773,1,1,0,4,,,10851.062572,0,1,132
89774,2,2,32,3,5,1,115989.197311,119191.51421,1,130
89775,2,1,7,3,,,47964.162953,47858.517055,1,121
89776,2,1,6,1,,,20559.705659,20879.000575,2,127
89777,2,2,17,1,,,18608.957096,18702.004557,2,127
89778,2,1,12,2,,,28801.735163,27871.389029,2,127
89779,2,1,21,6,3,5,19716.865669,19271.986298,2,128
89780,2,1,70,2,2,1,9114.895145,9060.941898,1,124
89781,2,2,17,1,,,15405.360793,17778.148662,2,123
89782,2,2,14,1,,,12190.642268,12112.173939,1,121
89783,1,2,26,6,2,1,26995.444858,0,2,123
89784,2,1,19,7,,,8905.470809,8591.055606,2,132
89785,1,2,20,2,4,5,32242.45137,0,1,124
89786,2,2,57,1,1,1,18773.695833,19493.338536,1,127
89787,2,1,71,3,3,4,19173.905775,21014.875762,1,132
89788,2,1,28,4,3,1,29216.71823,29215.059503,1,124
89789,2,2,11,1,,,12002.693775,12295.5047,1,121
89790,2,1,59,3,3,3,36247.504787,37172.931328,1,124
89791,2,1,23,2,5,5,30723.859423,31713.3315,1,124
89792,2,2,30,1,4,1,22381.025078,22642.362258,1,120
89793,2,1,52,2,5,1,36403.369171,36078.492462,2,130
89794,2,2,29,6,5,1,21124.924674,27208.312895,1,119
89795,2,2,22,3,3,5,52674.984878,53306.286435,1,131
89796,2,1,7,3,,,19893.85868,23827.76841,1,127
89797,2,2,59,1,1,1,20652.821385,20711.086071,1,128
89798,2,2,7,4,,,7559.03879,7562.512535,2,126
89799,2,1,33,6,3,6,23073.994707,25037.354628,2,122
89800,2,2,60,4,5,5,14365.269989,14309.130415,2,119
89801,2,1,67,1,4,1,8386.346736,8214.432914,1,128
89802,2,2,25,6,5,1,23932.166285,27950.468329,2,119
89803,2,1,61,1,3,1,9884.630779,9547.220912,2,122
89804,2,2,66,3,5,6,120735.459165,118616.430528,1,119
89805,2,2,26,3,5,6,59138.36511,66866.069822,1,133
89806,2,1,36,3,2,5,38787.358193,39987.42711,2,125
89807,2,2,69,1,1,1,10495.865944,10050.033571,1,128
89808,2,2,1,2,,,12877.875009,13377.437526,1,133
89809,2,2,48,3,4,1,96040.561701,95006.768157,2,131
89810,2,2,24,4,3,5,27666.600986,27734.546047,2,131
89811,1,1,33,4,4,3,26943.95244,0,1,133
89812,2,2,0,1,,,4553.118951,5007.946427,1,127
89813,2,2,40,3,4,1,137011.099904,140782.434562,2,127
89814,2,1,33,3,2,5,45608.43315,47019.544024,1,130
89815,2,1,16,1,,,14494.451776,14026.255778,1,121
89816,2,2,26,1,2,1,24043.2177,23611.373244,1,126
89817,2,1,3,1,,,20823.924151,23949.120202,2,130
89818,2,2,1,3,,,23909.602984,23901.824967,1,130
89819,2,2,8,1,,,14218.306729,14270.294983,1,129
89820,2,2,35,1,5,1,33169.970805,34696.779833,1,128
89821,2,1,9,3,,,26380.667125,26201.040868,2,131
89822,2,1,60,1,4,1,8807.30595,9115.818176,1,128
89823,2,2,21,3,4,5,71231.410539,72085.107991,1,123
89824,2,2,60,1,2,1,7763.361371,8168.258855,2,122
89825,2,2,23,4,3,5,27666.600986,27734.546047,2,131
89826,1,1,80,3,5,1,19047.909838,0,2,120
89827,1,2,76,6,1,2,19078.644417,0,2,119
89828,2,2,10,3,,,34737.917159,34100.375526,1,131
89829,2,2,39,1,1,4,22185.815871,24193.316087,1,122
89830,2,2,17,4,,,21739.440952,21294.059496,1,129
89831,2,2,52,1,1,1,15539.688904,19858.633551,1,126
89832,2,2,26,1,5,6,38562.113939,43747.60538,1,128
89833,2,2,36,4,4,6,18961.963179,18956.188846,2,132
89834,2,2,10,3,,,17213.003736,17109.128303,1,131
89835,2,2,75,3,3,1,52574.730939,54429.009137,2,127
89836,2,1,5,3,,,26468.638173,31188.381442,2,126
89837,2,2,4,7,,,16670.059675,18360.176854,1,127
89838,2,2,2,4,,,6965.069826,7239.896788,2,132
89839,2,2,36,3,4,3,90208.526407,92699.071176,1,132
89840,2,2,10,3,,,61322.913285,60343.673012,1,129
89841,2,1,57,4,4,1,21346.165826,21284.176419,2,126
89842,2,1,28,4,4,1,23898.919376,24913.200394,1,124
89843,2,1,1,1,,,9489.853377,11178.735123,1,120
89844,2,2,64,2,1,2,7754.841695,9412.618369,1,119
89845,2,1,63,4,4,1,10183.071924,10119.098072,1,119
89846,2,1,32,4,3,5,22779.756516,25159.628454,2,131
89847,2,2,2,3,,,33528.7442,33330.906488,1,122
89848,2,1,80,6,5,1,17814.531777,19488.592599,2,128
89849,2,2,67,6,3,2,18103.197703,24531.817163,1,133
89850,2,1,80,3,4,1,42203.070327,45477.072585,2,125
89851,2,1,44,3,5,1,90182.745408,90939.363634,1,125
89852,1,1,77,3,4,1,18539.46013,0,2,127
89853,2,2,74,3,4,3,59906.704808,62538.179886,1,126
89854,2,2,37,1,5,1,22329.979613,24350.524593,2,122
89855,2,1,59,3,5,6,142331.707477,151615.365691,2,125
89856,2,2,42,1,1,2,20656.970266,21230.440914,2,121
89857,2,2,1,1,,,11742.635857,12415.767552,1,128
89858,2,1,6,1,,,11885.423877,12169.347664,1,128
89859,2,2,10,3,,,21510.716997,21263.729671,1,120
89860,2,1,65,3,4,1,97771.342546,98466.949483,1,131
89861,2,1,58,3,5,1,121017.60977,129495.65339,1,128
89862,2,2,60,4,4,1,22870.522699,22781.144539,2,130
89863,2,1,14,3,,,25599.147399,26444.883416,1,130
89864,2,1,20,1,3,5,28512.321917,31394.288948,1,121
89865,2,1,7,3,,,24093.281244,24096.717719,1,120
89866,2,1,13,2,,,19124.478331,18719.755417,2,128
89867,2,1,1,7,,,7681.026132,8931.164693,1,126
89868,2,2,25,3,5,6,75140.758242,75293.046452,2,120
89869,2,1,0,1,,,5789.382021,6062.509978,2,133
89870,2,1,5,7,,,9732.687746,9873.76551,1,123
89871,2,1,2,4,,,8671.259514,9115.539489,2,131
89872,1,2,54,6,3,4,12481.075112,0,2,133
89873,2,1,7,3,,,33702.706492,38639.35591,1,122
89874,2,1,8,2,,,20559.705659,20879.000575,2,127
89875,2,2,17,3,,,39047.097542,40952.758531,1,130
89876,2,2,16,4,,,14593.567241,17196.875624,1,125
89877,2,1,4,6,,,12462.850901,12709.605874,2,128
89878,2,1,47,6,1,1,9448.209029,9676.37124,1,119
89879,2,2,14,1,,,14003.64937,14073.66963,1,128
89880,2,2,12,3,,,71424.486576,74102.354433,1,130
89881,2,2,30,6,5,1,25850.630848,26541.11334,2,124
89882,1,1,13,3,,,108533.839537,0,2,130
89883,2,1,72,3,4,1,91020.539017,96466.779895,1,120
89884,2,2,76,1,1,1,14026.929433,13372.387646,1,128
89885,2,1,14,3,,,44930.304905,46160.324932,1,120
89886,2,2,38,3,5,1,139709.679357,138851.945637,1,132
89887,2,1,13,3,,,35511.127524,36229.703851,1,130
89888,2,1,8,4,,,15858.75508,16425.878336,2,128
89889,2,2,54,6,5,1,21914.036865,25922.615553,2,122
89890,2,1,13,3,,,56452.060693,57594.38191,2,132
89891,2,1,48,3,3,1,127288.530078,128356.459662,2,123
89892,2,2,42,1,1,6,15893.280165,16334.50313,1,121
89893,2,2,15,1,,,14729.744104,14803.394942,1,126
89894,2,2,65,2,4,2,7903.349902,7674.475423,2,119
89895,2,1,6,3,,,23627.358254,23466.479309,2,123
89896,1,2,9,3,,,41558.17189,0,1,133
89897,2,2,80,3,4,1,79936.876675,83548.608035,1,131
89898,2,1,26,6,3,5,16128.07903,15764.174859,2,128
89899,1,2,39,2,5,1,28740.807427,0,2,125
89900,2,1,17,4,,,8888.797667,8830.945929,1,119
89901,2,2,36,1,2,6,26895.481091,28071.517056,2,131
89902,2,1,73,3,4,1,15084.992174,15046.340114,2,125
89903,2,1,0,2,,,5567.201786,5502.048517,2,133
89904,2,2,30,6,1,1,18158.856487,23752.025377,1,133
