SEQN,RIDSTATR,RIAGENDR,RIDAGEYR,RIDRETH3,DMDEDUC2,DMDMARTL,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA
62415,2,2,27,3,4,1,129336.409693,136474.939567,1,95
62416,2,2,19,2,,,13824.001771,14551.102227,2,90
62417,2,2,26,2,4,5,45207.136555,46085.238422,1,94
62418,2,1,80,3,1,2,46965.818538,52174.805072,1,101
62419,2,1,80,3,3,1,42993.150248,46481.579201,1,95
62420,1,1,24,1,4,5,59682.963348,0,2,102
62421,2,1,23,6,5,5,14313.345971,15171.949804,3,91
62422,2,2,72,3,4,2,63504.762752,64182.95787,1,91
62423,1,2,8,4,,,13192.206605,0,2,102
62424,2,1,20,2,2,5,41713.173502,43905.698512,1,90
62425,2,2,30,3,5,1,81658.419251,86275.41601,2,99
62426,2,1,9,1,,,8828.580268,8822.70874,2,103
62427,2,1,15,4,,,11462.850569,11753.30805,2,100
62428,2,2,12,4,,,16598.888685,16325.283055,2,102
62429,2,1,47,4,5,5,25964.952645,26121.35248,2,96
62430,2,1,27,2,5,1,49006.291777,50482.76018,1,92
62431,2,1,54,4,2,5,25969.864445,29542.265764,1,97
62432,2,2,38,3,5,1,75294.690128,81171.633513,1,90
62433,2,1,10,4,,,8579.422451,10224.240431,1,99
62434,2,2,61,4,3,6,9113.905743,10210.592308,3,90
62435,2,2,0,3,,,16547.193167,16560.896108,1,97
62436,2,1,4,1,,,11776.305841,11467.607256,1,90
62437,2,1,39,1,2,6,33948.23667,35734.088319,2,97
62438,2,1,0,4,,,6339.587912,6622.092882,1,91
62439,2,1,75,3,4,1,60942.568495,64726.722108,1,94
62440,2,1,22,1,4,1,35669.2076,36294.041819,2,94
62441,2,1,68,2,1,1,8609.250304,11228.904188,2,90
62442,2,1,0,4,,,6981.458608,7088.61417,2,92
62443,2,2,4,4,,,8464.796876,9108.215863,2,93
62444,2,2,23,4,5,5,21503.272394,20634.528185,2,100
62445,2,2,42,4,4,4,19866.025076,19772.340772,2,95
62446,2,2,4,2,,,15457.736897,17065.756351,2,98
62447,2,2,19,1,,,17490.464019,17826.708822,1,102
62448,2,1,13,1,,,18583.729819,18727.0393,2,96
62449,2,2,38,2,2,1,32097.38481,34606.180038,2,100
62450,2,1,57,3,4,1,19282.792088,20545.343351,2,97
62451,2,2,0,3,,,9142.358181,9688.944551,2,98
62452,2,1,39,2,3,5,34564.442715,35621.093093,2,90
62453,2,2,2,4,,,7329.363701,7518.547014,1,103
62454,2,2,64,2,4,1,7278.790659,7582.574348,2,93
62455,2,1,18,4,,,7946.436474,8100.311671,3,90
62456,2,1,17,4,,,13731.625553,14242.275028,1,100
62457,2,1,69,4,5,1,7736.56115,7645.782314,1,99
62458,2,1,13,6,,,6666.045669,7317.485505,3,90
62459,2,1,4,3,,,76935.850725,86801.923297,1,95
62460,2,1,41,3,5,1,105141.812429,109679.354704,1,98
62461,2,2,29,4,3,5,19362.260448,24981.28051,1,96
62462,2,2,11,3,,,79732.314338,79120.693768,1,100
62463,2,1,7,1,,,19774.151841,21259.203461,2,94
62464,2,1,32,3,3,6,22188.836739,22824.336433,1,95
62465,2,2,44,4,5,1,20084.755052,20430.629009,1,99
62466,2,1,4,4,,,7629.74403,8207.121237,1,99
62467,2,1,65,3,5,1,117075.881463,118577.582598,1,94
62468,2,2,0,2,,,6787.112205,6644.319314,2,94
62469,2,1,9,4,,,13423.881856,13521.226684,2,101
62470,2,1,4,1,,,12870.245769,12532.871153,1,102
62471,2,2,76,3,1,3,45482.078305,46877.423634,2,96
62472,2,1,31,4,5,6,27988.858556,28110.553782,1,97
62473,2,2,17,4,,,18163.985724,18749.311901,2,101
62474,2,2,71,3,3,2,31347.021791,31681.790338,1,98
62475,2,1,22,3,3,6,36750.682715,37321.834378,2,97
62476,2,1,40,3,3,5,28680.660607,28606.985896,3,91
62477,2,1,11,3,,,21839.599095,22875.076583,1,98
62478,2,1,5,4,,,8275.349856,8376.287205,2,95
62479,2,2,36,6,5,1,11608.998717,11632.703325,3,90
62480,2,1,43,3,3,1,105141.812429,110055.244549,1,98
62481,2,2,39,2,5,4,27127.983961,27837.333201,2,90
62482,2,2,32,3,4,6,31335.13799,31552.004994,1,95
62483,2,1,11,3,,,25604.034863,26336.174292,1,95
62484,2,2,42,4,4,1,27585.470618,26830.521849,2,102
62485,2,1,21,4,4,5,25815.880139,26556.735732,2,101
62486,1,2,14,3,,,117872.104347,0,2,101
62487,2,1,65,2,2,1,10655.434864,11610.446696,1,90
62488,1,1,9,3,,,41165.805324,0,2,100
62489,2,2,1,4,,,7281.670423,7938.059494,2,96
62490,2,1,0,3,,,15379.505002,15960.887694,1,102
62491,2,2,61,6,3,1,18695.172864,19350.637044,2,102
62492,2,1,6,7,,,8227.856305,8510.505183,3,91
62493,2,2,0,7,,,6570.947402,7236.391986,2,102
62494,2,1,28,2,4,1,37970.860743,39407.668593,2,92
62495,2,1,44,3,2,5,86361.036512,88802.863313,2,93
62496,2,1,4,1,,,18754.85406,18780.196288,2,102
62497,2,1,12,3,,,61479.689958,61628.148021,2,100
62498,2,2,13,1,,,20347.899985,21072.708732,3,92
62499,2,2,1,7,,,9679.976914,10817.322533,1,95
62500,2,2,52,4,5,1,18441.731082,18102.807884,1,96
62501,2,2,30,3,5,1,77778.949308,78018.093799,1,101
62502,2,1,35,4,3,6,14739.896059,14808.93904,2,99
62503,2,1,5,3,,,22669.354731,25576.419472,2,95
62504,2,2,30,2,1,6,38161.026403,37131.361742,1,100
62505,2,2,3,1,,,13196.707564,13241.769839,2,96
62506,2,2,46,2,3,1,29105.053716,30161.539189,2,93
62507,2,2,17,1,,,18581.167701,19284.858627,2,96
62508,2,1,3,3,,,58332.578536,68350.303275,1,91
62509,2,2,60,3,5,1,30131.691064,30623.993423,2,95
62510,2,2,80,3,3,1,62763.524469,78020.806152,1,92
62511,2,1,9,3,,,25019.74954,25881.463934,1,101
62512,2,1,39,6,5,1,17605.619977,18470.699991,3,91
62513,2,2,46,2,1,1,29470.67209,35523.062266,1,90
62514,2,1,44,3,3,1,19633.637051,20188.770976,2,95
62515,2,2,42,2,1,5,31235.666551,33485.036978,2,94
62516,2,1,10,2,,,18107.947773,18538.358733,1,97
62517,2,1,80,3,1,1,11483.380372,15883.29652,1,90
62518,1,1,47,6,5,1,16651.742047,0,1,100
62519,2,1,56,4,3,3,17801.655316,19397.911862,2,95
62520,2,1,0,3,,,11017.136221,10826.673882,1,91
62521,2,2,59,3,5,3,178239.535384,176744.998212,1,102
62522,2,1,54,3,4,3,24930.322327,25494.618871,2,94
62523,2,1,33,4,4,1,23872.904125,23622.849234,1,91
62524,2,1,23,3,5,5,91704.59836,93129.802737,1,93
62525,2,1,15,6,,,10725.405063,11099.246363,2,94
62526,2,2,62,2,3,1,8811.978874,9348.531299,3,90
62527,2,1,79,4,2,5,9541.516696,10104.465045,1,100
62528,2,1,40,2,1,6,25035.846455,24668.484001,2,99
62529,2,1,59,4,4,1,15760.921402,16568.510632,3,90
62530,2,2,51,3,2,3,141316.739364,156265.607046,2,94
62531,2,2,52,4,3,1,20149.292081,21423.504707,2,99
62532,2,2,64,4,3,77,11523.037911,11989.050618,2,97
62533,2,2,1,1,,,9955.153132,10089.038145,2,94
62534,2,1,13,7,,,11068.745625,11332.552011,1,103
62535,2,2,5,3,,,69665.012606,74034.381659,3,92
62536,2,1,46,6,2,6,14238.597316,14347.374047,2,92
62537,2,2,10,3,,,15442.305642,15459.941839,2,94
62538,2,2,1,4,,,6802.424856,6978.006983,2,99
62539,2,1,60,4,2,2,10717.375231,11218.730451,2,101
62540,2,2,0,3,,,22478.08837,21867.533571,3,91
62541,2,2,13,3,,,68399.970058,69290.143431,1,102
62542,2,2,11,2,,,14414.529053,14932.182215,2,96
62543,2,2,1,2,,,11981.824297,12142.965635,2,91
62544,2,1,42,4,5,1,18533.049642,19320.837782,1,99
62545,2,1,8,2,,,15673.230419,15680.173615,1,97
62546,2,1,64,1,4,2,13473.930124,13736.530204,1,92
62547,2,1,9,1,,,13484.595524,13562.00827,1,97
62548,2,1,57,2,3,5,25422.415762,25922.20279,2,100
62549,2,1,53,6,3,1,10579.097347,10866.833801,2,92
62550,2,2,9,7,,,8292.876947,8466.609309,1,102
62551,2,2,37,3,5,1,86578.861495,89840.962333,2,101
62552,2,2,41,3,5,1,139800.409559,140918.856987,1,100
62553,2,1,8,6,,,4945.578914,5359.127104,3,91
62554,2,2,15,6,,,12546.119668,12876.82216,2,102
62555,2,1,35,4,4,6,23471.353577,23548.945779,1,100
62556,2,2,31,6,5,1,17978.142628,18308.053591,1,91
62557,2,1,10,1,,,10591.186197,11647.778431,1,90
62558,2,2,49,4,3,1,20084.755052,20500.648257,1,99
62559,2,2,9,1,,,18668.602894,22428.786321,1,101
62560,2,2,56,4,4,1,12435.659176,12095.32474,1,96
62561,2,2,10,3,,,50248.753555,51858.292831,2,100
62562,2,1,4,1,,,17865.135763,18076.339981,3,92
62563,2,2,72,4,7,77,13638.730054,13839.452317,1,99
62564,2,2,13,4,,,11711.384457,11743.959438,2,95
62565,2,1,23,6,5,5,14385.653726,15533.829525,2,101
62566,2,2,2,4,,,7734.994032,8078.467013,2,95
62567,2,2,80,3,1,3,22991.276372,25575.167764,1,99
62568,2,2,1,1,,,10867.770426,11631.363355,1,100
62569,2,2,80,3,1,2,45973.010529,51521.910389,1,94
62570,2,1,6,4,,,8655.162127,8675.53524,2,101
62571,2,2,32,3,5,5,85420.170155,86011.35365,1,91
62572,2,2,80,3,5,3,47566.45715,54102.989916,1,90
62573,2,2,48,3,4,3,30442.30641,30472.199404,1,95
62574,2,2,13,3,,,132630.209478,136814.3405,1,97
62575,2,2,24,3,4,1,129336.409693,130993.13082,1,95
62576,2,1,66,1,1,1,14488.953694,14771.336069,3,92
62577,2,2,71,3,4,1,72551.269339,73326.076054,1,92
62578,2,2,6,3,,,48532.852397,48387.04619,1,101
62579,2,1,78,1,4,1,12782.642018,13005.47245,2,96
62580,2,2,14,3,,,38400.791741,38900.548719,1,92
62581,2,2,10,3,,,53370.126656,53491.559571,2,98
62582,1,2,10,3,,,23170.920553,0,1,94
62583,2,2,17,3,,,93740.540203,99321.165816,1,100
62584,2,1,22,3,3,5,29738.952706,31253.462984,2,94
62585,2,2,80,4,3,2,14859.685983,15314.825218,1,95
62586,2,1,70,3,3,5,68266.732554,71967.824097,1,95
62587,2,1,73,3,4,6,15565.766387,16476.020536,1,101
62588,2,1,21,3,4,5,137038.746155,146293.19093,2,101
62589,2,2,75,3,4,3,61388.874846,64435.558603,1,90
62590,2,1,11,4,,,8483.005475,8584.70346,1,96
62591,2,1,10,3,,,54897.892683,57357.850008,2,98
62592,2,1,0,3,,,9665.908305,9498.805759,1,95
62593,2,2,72,3,5,2,64463.340883,65151.773075,1,91
62594,2,1,0,4,,,5707.173345,5961.496632,1,90
62595,2,2,28,7,4,1,13851.686232,14954.517784,3,91
62596,2,2,52,6,5,1,11428.6913,11489.125563,1,103
62597,2,2,60,4,2,2,11696.973403,12170.020379,2,97
62598,2,1,18,4,,,11666.009872,12200.765691,2,100
62599,2,2,50,4,4,5,17521.481386,17644.217766,2,97
62600,2,1,10,2,,,10738.959181,10632.988891,2,93
62601,2,1,65,4,3,1,9636.209947,9711.587411,2,97
62602,2,2,80,3,4,2,60071.993203,65791.533402,1,95
62603,2,2,38,1,2,6,39561.667842,42653.886229,2,98
62604,2,2,73,3,3,5,69886.968852,80170.534309,1,102
62605,1,1,1,6,,,7025.964374,0,2,91
62606,2,1,2,4,,,5930.749873,6003.089312,2,93
62607,2,1,4,4,,,10040.033098,11070.778245,1,100
62608,1,2,67,2,2,1,7278.790659,0,2,93
62609,2,1,9,3,,,25604.034863,26336.174292,1,95
62610,2,2,12,2,,,18006.855255,21837.57166,1,100
62611,2,1,45,6,2,4,11725.7448,11815.324423,2,95
62612,2,2,38,6,5,1,21619.283038,22049.338941,2,102
62613,2,2,29,4,4,1,28394.357741,26997.683446,1,100
62614,2,1,12,3,,,58479.782556,60361.370686,1,99
62615,2,2,0,4,,,3774.069255,3925.050204,2,99
62616,2,2,37,6,1,1,15542.93857,16609.63545,3,91
62617,2,1,8,7,,,8439.403196,8726.876152,2,103
62618,2,1,10,7,,,7923.925927,8546.646915,1,91
